name,pre_mode,label,score,top,left,bottom,right
20201110_222144_001.jpg,A,M,1,175,1110,1308,2009
20201110_222144_002.jpg,A,M,1,242,1105,1394,2003
20201110_222144_003.jpg,A,M,1,304,1088,1461,1992
20201110_222144_004.jpg,A,M,1,372,1068,1513,1972
20201110_222144_005.jpg,A,M,1,355,1014,1584,1856
20201110_222144_006.jpg,A,M,1,364,896,1633,1750
20201110_222144_007.jpg,A,M,1,339,873,1593,1701
20201110_222144_008.jpg,A,M,1,324,873,1516,1717
20201110_222144_009.jpg,A,M,1,245,969,1510,1793
20201110_222144_010.jpg,A,M,1,311,1056,1501,1924
20201110_222144_011.jpg,A,M,1,393,1194,1607,1991
20201110_222144_012.jpg,A,M,1,525,1329,1615,2126
20201110_222144_013.jpg,A,M,1,469,1345,1547,2136
20201110_222144_014.jpg,A,M,1,346,1342,1418,2107
20201110_222144_015.jpg,A,M,1,291,1384,1416,2094
20201110_222144_016.jpg,A,M,1,213,1331,1361,2028
20201110_222144_017.jpg,A,M,1,144,1356,1299,2053
20201110_222144_018.jpg,A,M,1,95,1341,1260,2032
20201110_222144_019.jpg,A,M,1,101,1386,1217,2161
20201110_222144_020.jpg,A,M,1,75,1412,1161,2216
20201110_222144_021.jpg,A,M,1,20,1447,1053,2416
20201110_222144_022.jpg,A,M,1,0,1527,932,2551
20201110_222144_023.jpg,A,M,1,0,1544,832,2652
20201110_222144_024.jpg,A,M,1,0,1630,869,2771
20201110_222144_025.jpg,A,M,1,44,1561,915,2783
20201110_222144_026.jpg,A,M,1,149,1572,997,2747
20201110_222144_027.jpg,A,M,1,197,1521,999,2719
20201110_222144_028.jpg,A,M,1,256,1474,1010,2695
20201110_222144_029.jpg,A,M,1,244,1532,966,2724
20201110_222144_030.jpg,A,M,1,250,1561,929,2738
20201110_222213_001.jpg,A,M,1,476,1440,992,2052
20201110_222213_002.jpg,A,M,1,533,1352,1058,2025
20201110_222213_003.jpg,A,M,1,550,1309,1067,1979
20201110_222213_004.jpg,A,M,1,534,1280,1024,1986
20201110_222213_005.jpg,A,M,1,550,1303,1025,1993
20201110_222213_006.jpg,A,M,1,600,1382,1019,2022
20201110_222213_007.jpg,A,M,1,657,1389,1050,2035
20201110_222213_008.jpg,A,M,1,687,1377,1049,2029
20201110_222213_009.jpg,A,M,1,680,1376,1042,2035
